titulo_puesto,empresa,carrera_requerida,provincia,experiencia_requerida,salario_minimo,salario_maximo,fecha_publicacion,sector
Ingeniero Industrial,IESS,Ingeniería Civil,Azuay,Sin experiencia,868,1077,2025-11-06,Público
Analista de Recursos Humanos,Produbanco,Administración de Empresas,Tungurahua,2 años,1015,1262,2025-11-04,Privado
Ejecutivo de Ventas,Banco Pichincha,Marketing,Guayas,3 años,1177,1488,2025-11-23,Privado
Ingeniero de Proyectos,Hospital Metropolitano,Ingeniería Civil,Tungurahua,Sin experiencia,946,1127,2025-11-19,Privado
Analista de Datos,Diners Club,Ingeniería en Sistemas,El Oro,4 años,2066,2461,2025-12-05,Privado
Content Manager,EP Petroecuador,Marketing,Manabí,Sin experiencia,645,825,2025-11-01,Privado
Ingeniero de Calidad,EP Petroecuador,Ingeniería Industrial,El Oro,2 años,1216,1433,2025-09-12,Privado
Ingeniero Industrial,Movistar Ecuador,Ingeniería Civil,El Oro,3 años,1551,1912,2025-09-15,Privado
Jefe de Mantenimiento,Halliburton,Ingeniería Civil,Tungurahua,4 años,1626,1908,2025-09-20,Privado
Supervisor de Obra,Halliburton,Ingeniería Eléctrica,Manabí,3 años,1436,1639,2025-09-12,Privado
Ingeniero Civil,Holcim Ecuador,Ingeniería Industrial,El Oro,3 años,1454,1817,2025-10-25,Privado
Asistente Contable,Ministerio de Salud,Contabilidad y Auditoría,Manabí,1 año,726,834,2025-12-06,Público
Jefe de Recursos Humanos,La Fabril,Administración de Empresas,Manabí,3 años,1250,1395,2025-11-30,Privado
Jefe de Mantenimiento,Consorcio Nobis,Ingeniería Civil,Manabí,Sin experiencia,936,1187,2025-09-28,Privado
Scrum Master,Nestlé Ecuador,Ingeniería en Sistemas,Guayas,4 años,1840,2220,2025-10-27,Privado
Gerente de Operaciones,Banco Pichincha,Administración de Empresas,El Oro,2 años,1031,1224,2025-09-29,Privado
Ingeniero Civil,IESS,Ingeniería Civil,Manabí,3 años,1600,2027,2025-11-12,Público
Tecnólogo Médico,Produbanco,Medicina,Manabí,2 años,1638,1803,2025-10-25,Privado
Ingeniero Eléctrico,Corporación GPF,Ingeniería Civil,Guayas,2 años,1240,1367,2025-09-10,Privado
Desarrollador Mobile,Ministerio de Salud,Ingeniería en Sistemas,El Oro,2 años,1488,1702,2025-09-19,Público
Contador,Pronaca,Administración de Empresas,Manabí,3 años,1263,1595,2025-10-18,Privado
Ingeniero Eléctrico,IESS,Ingeniería Eléctrica,Tungurahua,Sin experiencia,861,1020,2025-10-06,Público
Ingeniero Mecánico,Fybeca,Ingeniería Civil,Azuay,Sin experiencia,822,970,2025-10-17,Privado
Arquitecto de Software,IESS,Ingeniería en Sistemas,Manabí,1 año,1132,1394,2025-10-12,Público
Especialista en SEO,Pronaca,Comunicación Social,Pichincha,1 año,807,954,2025-11-22,Privado
Ingeniero Mecánico,CNT,Ingeniería Industrial,Azuay,4 años,1746,2130,2025-11-26,Público
Odontólogo/a,Hospital Metropolitano,Enfermería,Guayas,1 año,718,916,2025-10-17,Privado
Ingeniero Mecánico,Hospital Metropolitano,Ingeniería Industrial,Pichincha,5+ años,2043,2486,2025-10-25,Privado
Ingeniero Eléctrico,Grupo Wright,Ingeniería Eléctrica,Tungurahua,1 año,1145,1262,2025-09-09,Privado
Analista de Marketing Digital,Produbanco,Comunicación Social,Guayas,1 año,785,982,2025-11-25,Privado
Médico General,Consorcio Nobis,Medicina,Azuay,3 años,2099,2393,2025-10-25,Privado
Ingeniero Civil,SRI,Ingeniería Civil,El Oro,3 años,1570,2024,2025-10-19,Público
Analista Financiero,Universidad San Francisco,Administración de Empresas,El Oro,2 años,1141,1264,2025-10-30,Privado
Community Manager,Ministerio de Educación,Marketing,El Oro,2 años,985,1131,2025-11-15,Público
Administrador de Sistemas,Ministerio de Educación,Ingeniería en Sistemas,Tungurahua,3 años,1805,2173,2025-09-30,Público
Ingeniero Civil,Holcim Ecuador,Ingeniería Industrial,Manabí,1 año,913,1039,2025-11-27,Privado
Auditor,Consorcio Nobis,Administración de Empresas,Pichincha,5+ años,1682,2034,2025-10-03,Privado
Ingeniero de Proyectos,OCP Ecuador,Ingeniería Civil,Manabí,5+ años,2298,2670,2025-10-02,Privado
Ingeniero de Calidad,EP Petroecuador,Ingeniería Civil,Tungurahua,3 años,1462,1691,2025-11-03,Privado
Ingeniero Ambiental,Industrias Ales,Ingeniería Civil,Pichincha,1 año,1199,1405,2025-10-25,Privado
Coordinador Administrativo,ARCA Continental,Administración de Empresas,Manabí,3 años,1261,1572,2025-09-26,Privado
Ingeniero Civil,Repsol Ecuador,Ingeniería Industrial,Manabí,Sin experiencia,856,1071,2025-10-15,Privado
Coordinador de Publicidad,Corporación El Rosado,Comunicación Social,Tungurahua,Sin experiencia,627,721,2025-11-05,Privado
Brand Manager,Diners Club,Marketing,Manabí,1 año,860,1028,2025-10-19,Privado
Coordinador Administrativo,Ministerio de Salud,Administración de Empresas,Guayas,2 años,1169,1286,2025-11-10,Público
Coordinador Administrativo,Schlumberger,Contabilidad y Auditoría,Manabí,4 años,1392,1801,2025-10-24,Privado
Auxiliar de Enfermería,Produbanco,Enfermería,El Oro,3 años,1075,1197,2025-09-11,Privado
Tecnólogo Médico,CNT,Medicina,Guayas,3 años,2210,2854,2025-10-21,Público
Jefe de Mantenimiento,Corporación GPF,Ingeniería Eléctrica,El Oro,2 años,1203,1416,2025-10-31,Privado
Ingeniero Eléctrico,Industrias Ales,Ingeniería Civil,Pichincha,1 año,1192,1397,2025-12-06,Privado
Ingeniero de Software,Claro Ecuador,Ingeniería en Sistemas,Tungurahua,1 año,1189,1469,2025-10-09,Privado
Técnico Industrial,CNT,Ingeniería Civil,Pichincha,5+ años,2031,2271,2025-10-26,Público
Farmacéutico/a,OCP Ecuador,Enfermería,Tungurahua,Sin experiencia,605,771,2025-09-28,Privado
Psicólogo Clínico,Produbanco,Enfermería,Tungurahua,4 años,1224,1507,2025-10-25,Privado
Gerente de Marketing,Halliburton,Comunicación Social,El Oro,2 años,966,1083,2025-11-19,Privado
Contador,Movistar Ecuador,Contabilidad y Auditoría,El Oro,2 años,904,1129,2025-12-05,Privado
Community Manager,CNT,Marketing,Manabí,3 años,1071,1193,2025-12-05,Público
Médico Especialista,Halliburton,Enfermería,El Oro,2 años,804,953,2025-09-29,Privado
Contador,Consorcio Nobis,Contabilidad y Auditoría,Guayas,4 años,1276,1531,2025-09-21,Privado
Técnico Industrial,IESS,Ingeniería Industrial,Guayas,4 años,1504,1879,2025-10-01,Público
Content Manager,ARCA Continental,Marketing,El Oro,2 años,1104,1238,2025-11-27,Privado
Gerente de Operaciones,Diners Club,Administración de Empresas,Pichincha,1 año,877,1013,2025-10-20,Privado
Scrum Master,SRI,Ingeniería en Sistemas,Manabí,2 años,1435,1796,2025-09-08,Público
Especialista en Ciberseguridad,Banco Pichincha,Ingeniería en Sistemas,El Oro,4 años,1951,2531,2025-09-19,Privado
Ingeniero de Proyectos,Banco Pichincha,Ingeniería Civil,Manabí,1 año,1122,1455,2025-10-11,Privado
Jefe de Mantenimiento,Hospital Metropolitano,Ingeniería Industrial,Tungurahua,2 años,1183,1389,2025-10-20,Privado
Auditor,Corporación GPF,Contabilidad y Auditoría,El Oro,2 años,940,1148,2025-10-22,Privado
Gerente de Operaciones,Banco Pichincha,Contabilidad y Auditoría,Manabí,3 años,1203,1419,2025-09-24,Privado
Scrum Master,Unilever Andina,Ingeniería en Sistemas,Tungurahua,Sin experiencia,917,1136,2025-10-08,Privado
Coordinador Administrativo,Industrias Ales,Contabilidad y Auditoría,Tungurahua,3 años,1100,1251,2025-11-27,Privado
Asistente Administrativo,Corporación GPF,Contabilidad y Auditoría,Pichincha,4 años,1400,1746,2025-12-02,Privado
Ingeniero Eléctrico,Moderna Alimentos,Ingeniería Industrial,Manabí,1 año,1047,1317,2025-10-21,Privado
Auxiliar de Enfermería,Nestlé Ecuador,Enfermería,El Oro,1 año,683,834,2025-09-25,Privado
Técnico Industrial,Grupo Wright,Ingeniería Eléctrica,Pichincha,5+ años,2036,2564,2025-10-15,Privado
Jefe de Mantenimiento,CNT,Ingeniería Eléctrica,Manabí,1 año,1200,1435,2025-11-15,Público
Ingeniero Eléctrico,IESS,Ingeniería Civil,Guayas,4 años,1849,2277,2025-09-18,Público
Tecnólogo Médico,Corporación Favorita,Medicina,Guayas,2 años,1954,2276,2025-10-26,Privado
Ejecutivo de Ventas,Claro Ecuador,Marketing,El Oro,1 año,845,1081,2025-09-22,Privado
Gerente General,Moderna Alimentos,Administración de Empresas,Pichincha,4 años,1525,1779,2025-10-05,Privado
Analista de E-commerce,Holcim Ecuador,Comunicación Social,El Oro,2 años,871,1116,2025-10-25,Privado
Ingeniero de Calidad,Ministerio de Educación,Ingeniería Eléctrica,Guayas,2 años,1256,1454,2025-09-21,Público
Nutricionista,Ministerio de Salud,Medicina,El Oro,1 año,1632,1982,2025-09-23,Público
Asistente Contable,Banco Pichincha,Contabilidad y Auditoría,Azuay,2 años,875,1056,2025-10-26,Privado
Nutricionista,Corporación GPF,Enfermería,El Oro,1 año,760,855,2025-11-30,Privado
Analista de E-commerce,Ministerio de Educación,Comunicación Social,Pichincha,1 año,734,886,2025-11-04,Público
Contador,Diners Club,Contabilidad y Auditoría,Guayas,5+ años,1599,1904,2025-11-22,Privado
Diseñador Gráfico,Pronaca,Marketing,Tungurahua,1 año,819,983,2025-12-04,Privado
Psicólogo Clínico,Industrias Ales,Medicina,El Oro,3 años,2238,2683,2025-12-06,Privado
Médico General,Hospital Metropolitano,Enfermería,Guayas,1 año,745,850,2025-10-05,Privado
Ingeniero de Software,Moderna Alimentos,Ingeniería en Sistemas,El Oro,3 años,1643,2130,2025-11-30,Privado
Asistente Administrativo,Schlumberger,Administración de Empresas,Azuay,Sin experiencia,708,845,2025-10-21,Privado
Tecnólogo Médico,Holcim Ecuador,Enfermería,Tungurahua,5+ años,1463,1691,2025-10-01,Privado
Ingeniero de Calidad,Nestlé Ecuador,Ingeniería Eléctrica,Guayas,2 años,1273,1601,2025-09-13,Privado
Brand Manager,CNT,Marketing,Tungurahua,1 año,788,976,2025-10-14,Público
Auditor,IESS,Administración de Empresas,El Oro,Sin experiencia,676,831,2025-10-23,Público
Analista de Marketing Digital,Corporación El Rosado,Comunicación Social,Manabí,1 año,817,968,2025-09-28,Privado
Analista de Datos,Fybeca,Ingeniería en Sistemas,Manabí,2 años,1347,1495,2025-11-11,Privado
Analista de Recursos Humanos,Tecnipak,Contabilidad y Auditoría,Guayas,1 año,820,968,2025-09-11,Privado
Fisioterapeuta,Schlumberger,Medicina,Manabí,3 años,2017,2459,2025-09-29,Privado
Enfermero/a,La Fabril,Enfermería,El Oro,2 años,820,1005,2025-11-02,Privado
Asistente Administrativo,Unilever Andina,Contabilidad y Auditoría,Pichincha,1 año,733,878,2025-12-01,Privado
Ingeniero Eléctrico,Corporación Favorita,Ingeniería Eléctrica,Tungurahua,2 años,1339,1626,2025-10-12,Privado
Farmacéutico/a,EP Petroecuador,Medicina,Manabí,3 años,2093,2572,2025-11-01,Privado
Analista de E-commerce,Consorcio Nobis,Marketing,Pichincha,1 año,820,1019,2025-11-14,Privado
Asistente Contable,Corporación Favorita,Administración de Empresas,Manabí,1 año,910,1098,2025-11-13,Privado
Ingeniero Mecánico,Almacenes Juan Eljuri,Ingeniería Industrial,Tungurahua,Sin experiencia,806,1018,2025-11-29,Privado
Fisioterapeuta,Unilever Andina,Medicina,Guayas,3 años,2252,2790,2025-09-07,Privado
Jefe de Mantenimiento,Universidad San Francisco,Ingeniería Eléctrica,Pichincha,3 años,1398,1698,2025-11-29,Privado
Gerente de Operaciones,Claro Ecuador,Administración de Empresas,Pichincha,2 años,990,1113,2025-10-15,Privado
Gerente General,CNT,Contabilidad y Auditoría,Manabí,3 años,1226,1509,2025-10-08,Público
Community Manager,Almacenes Juan Eljuri,Marketing,Azuay,3 años,1227,1458,2025-11-19,Privado
Supervisor de Obra,Almacenes Juan Eljuri,Ingeniería Industrial,Azuay,2 años,1225,1472,2025-12-04,Privado
Médico General,SRI,Medicina,Pichincha,4 años,2250,2609,2025-10-04,Público
Analista de Recursos Humanos,IESS,Administración de Empresas,Tungurahua,1 año,874,983,2025-11-25,Público
Enfermero/a,Claro Ecuador,Enfermería,Azuay,Sin experiencia,546,699,2025-10-28,Privado
Ingeniero Mecánico,Claro Ecuador,Ingeniería Industrial,El Oro,1 año,985,1220,2025-11-14,Privado
Ingeniero Mecánico,Movistar Ecuador,Ingeniería Civil,El Oro,Sin experiencia,914,1040,2025-10-24,Privado
Coordinador de Publicidad,CNT,Comunicación Social,Manabí,2 años,957,1113,2025-11-01,Público
Médico General,SRI,Enfermería,Pichincha,4 años,1068,1288,2025-12-03,Público
Ingeniero de Calidad,Holcim Ecuador,Ingeniería Eléctrica,Azuay,Sin experiencia,904,1059,2025-10-19,Privado
Diseñador Gráfico,Ministerio de Educación,Marketing,Azuay,Sin experiencia,613,720,2025-10-05,Público
Enfermero/a,Unilever Andina,Enfermería,Guayas,2 años,844,1076,2025-11-21,Privado
Ingeniero Mecánico,Almacenes Juan Eljuri,Ingeniería Industrial,Azuay,4 años,1664,2118,2025-11-16,Privado
Analista de E-commerce,Nestlé Ecuador,Marketing,Pichincha,1 año,794,1023,2025-10-26,Privado
Jefe de Recursos Humanos,Schlumberger,Administración de Empresas,Manabí,2 años,1099,1265,2025-12-03,Privado
Ingeniero Industrial,Consorcio Nobis,Ingeniería Eléctrica,Guayas,Sin experiencia,858,1069,2025-09-13,Privado
Auditor,Halliburton,Contabilidad y Auditoría,El Oro,Sin experiencia,634,753,2025-10-22,Privado
Ingeniero de Proyectos,Diners Club,Ingeniería Industrial,Azuay,5+ años,2181,2626,2025-10-06,Privado
Analista de Marketing Digital,Produbanco,Marketing,Manabí,5+ años,1791,2272,2025-11-27,Privado
Enfermero/a,SRI,Medicina,Pichincha,Sin experiencia,1119,1243,2025-10-13,Público
Jefe de Mantenimiento,Banco Pichincha,Ingeniería Eléctrica,Manabí,5+ años,2277,2929,2025-09-24,Privado
Jefe de Mantenimiento,Grupo Wright,Ingeniería Industrial,El Oro,2 años,1319,1685,2025-12-05,Privado
Tecnólogo Médico,Banco Pichincha,Medicina,Tungurahua,4 años,2251,2850,2025-09-07,Privado
Médico Especialista,Fybeca,Enfermería,Guayas,2 años,923,1137,2025-11-13,Privado
Community Manager,ARCA Continental,Comunicación Social,Guayas,2 años,931,1188,2025-11-13,Privado
Ingeniero Industrial,Holcim Ecuador,Ingeniería Civil,Azuay,2 años,1409,1694,2025-09-13,Privado
Auxiliar de Enfermería,Repsol Ecuador,Enfermería,Guayas,3 años,955,1072,2025-12-02,Privado
Ingeniero de Proyectos,Unilever Andina,Ingeniería Civil,Azuay,Sin experiencia,844,977,2025-10-04,Privado
Scrum Master,Schlumberger,Ingeniería en Sistemas,Guayas,Sin experiencia,1041,1338,2025-11-28,Privado
Ingeniero Civil,La Fabril,Ingeniería Eléctrica,Tungurahua,1 año,1176,1307,2025-09-07,Privado
Brand Manager,Hospital Metropolitano,Comunicación Social,Azuay,3 años,1019,1121,2025-09-30,Privado
Nutricionista,Banco Pichincha,Enfermería,Pichincha,1 año,690,786,2025-11-13,Privado
Ingeniero Industrial,Halliburton,Ingeniería Eléctrica,Pichincha,3 años,1667,1836,2025-11-30,Privado
Ejecutivo de Ventas,Industrias Ales,Marketing,Manabí,5+ años,1657,1943,2025-09-30,Privado
Ingeniero Ambiental,Nestlé Ecuador,Ingeniería Eléctrica,Manabí,Sin experiencia,907,1077,2025-09-24,Privado
Asistente Contable,Banco Pichincha,Contabilidad y Auditoría,Azuay,3 años,1205,1496,2025-09-21,Privado
Ingeniero Ambiental,Pronaca,Ingeniería Civil,Guayas,2 años,1292,1613,2025-09-11,Privado
Auditor,Industrias Ales,Administración de Empresas,El Oro,4 años,1579,1774,2025-11-08,Privado
Jefe de Mantenimiento,Consorcio Nobis,Ingeniería Eléctrica,Azuay,1 año,1155,1450,2025-10-28,Privado
Ingeniero de Calidad,Consorcio Nobis,Ingeniería Eléctrica,Pichincha,3 años,1680,2114,2025-09-23,Privado
Jefe de Recursos Humanos,Grupo Wright,Administración de Empresas,Pichincha,3 años,1327,1522,2025-12-02,Privado
Asistente Contable,Banco Pichincha,Contabilidad y Auditoría,Manabí,4 años,1274,1473,2025-09-17,Privado
Fisioterapeuta,Corporación El Rosado,Enfermería,El Oro,3 años,982,1129,2025-09-21,Privado
Ejecutivo de Ventas,Tecnipak,Marketing,Guayas,2 años,1014,1274,2025-09-20,Privado
Técnico Industrial,EP Petroecuador,Ingeniería Eléctrica,Guayas,2 años,1450,1766,2025-11-27,Privado
Auditor,Unilever Andina,Administración de Empresas,Guayas,4 años,1411,1629,2025-10-01,Privado
Asistente Contable,Corporación Favorita,Administración de Empresas,Tungurahua,2 años,1015,1291,2025-10-25,Privado
Médico Especialista,Produbanco,Enfermería,El Oro,Sin experiencia,574,657,2025-10-20,Privado
Auxiliar de Enfermería,Cervecería Nacional,Enfermería,Tungurahua,4 años,1103,1224,2025-09-21,Privado
Especialista en SEO,Movistar Ecuador,Marketing,Azuay,3 años,1240,1425,2025-09-13,Privado
Asistente Administrativo,Banco Pichincha,Administración de Empresas,Pichincha,3 años,1300,1513,2025-10-13,Privado
Ingeniero Ambiental,Nestlé Ecuador,Ingeniería Industrial,Manabí,1 año,936,1207,2025-10-23,Privado
Analista Financiero,Unilever Andina,Contabilidad y Auditoría,Pichincha,3 años,1157,1430,2025-09-23,Privado
Jefe de Recursos Humanos,Corporación GPF,Contabilidad y Auditoría,El Oro,1 año,844,1017,2025-10-24,Privado
Ingeniero Ambiental,IESS,Ingeniería Civil,Tungurahua,3 años,1504,1921,2025-09-23,Público
Analista de Marketing Digital,Pronaca,Comunicación Social,Tungurahua,Sin experiencia,656,837,2025-10-01,Privado
Jefe de Mantenimiento,Nestlé Ecuador,Ingeniería Civil,Pichincha,3 años,1676,2051,2025-10-15,Privado
Ingeniero Eléctrico,Corporación El Rosado,Ingeniería Industrial,Pichincha,5+ años,1851,2190,2025-10-09,Privado
Supervisor de Obra,Corporación GPF,Ingeniería Eléctrica,Manabí,Sin experiencia,902,1013,2025-11-01,Privado
Auxiliar de Enfermería,Halliburton,Medicina,Tungurahua,5+ años,3258,3912,2025-09-09,Privado
Analista de Recursos Humanos,Movistar Ecuador,Administración de Empresas,El Oro,2 años,1180,1366,2025-11-18,Privado
Administrador de Sistemas,Schlumberger,Ingeniería en Sistemas,Manabí,4 años,1990,2535,2025-09-16,Privado
Coordinador Administrativo,Grupo Wright,Administración de Empresas,Manabí,3 años,1275,1502,2025-11-23,Privado
Ejecutivo de Ventas,EP Petroecuador,Marketing,Pichincha,2 años,950,1086,2025-12-05,Privado
Analista de Business Intelligence,La Fabril,Ingeniería en Sistemas,Tungurahua,3 años,1749,2107,2025-10-15,Privado
Ingeniero Ambiental,Movistar Ecuador,Ingeniería Civil,Tungurahua,4 años,1625,1860,2025-11-14,Privado
Ingeniero Ambiental,Pronaca,Ingeniería Civil,El Oro,2 años,1227,1566,2025-09-24,Privado
Community Manager,SRI,Marketing,Guayas,1 año,855,940,2025-10-21,Público
Especialista en SEO,Universidad San Francisco,Comunicación Social,Pichincha,3 años,1143,1459,2025-10-10,Privado
Asistente Contable,Diners Club,Administración de Empresas,Azuay,3 años,1382,1693,2025-09-08,Privado
Auditor,Movistar Ecuador,Contabilidad y Auditoría,Guayas,3 años,1065,1174,2025-11-30,Privado
Analista de Marketing Digital,Repsol Ecuador,Comunicación Social,El Oro,3 años,999,1224,2025-11-23,Privado
Ingeniero Eléctrico,ARCA Continental,Ingeniería Eléctrica,Guayas,2 años,1273,1452,2025-11-26,Privado
Odontólogo/a,ARCA Continental,Enfermería,Guayas,3 años,1025,1216,2025-09-25,Privado
Ingeniero Mecánico,Moderna Alimentos,Ingeniería Industrial,Guayas,Sin experiencia,793,1001,2025-09-29,Privado
Técnico Industrial,Moderna Alimentos,Ingeniería Civil,El Oro,2 años,1235,1428,2025-10-16,Privado
Contador,Schlumberger,Administración de Empresas,El Oro,Sin experiencia,735,818,2025-09-16,Privado
Fisioterapeuta,La Fabril,Enfermería,El Oro,1 año,765,856,2025-11-13,Privado
Asistente Administrativo,Nestlé Ecuador,Administración de Empresas,Manabí,1 año,879,986,2025-09-08,Privado
Ingeniero de Software,SRI,Ingeniería en Sistemas,Pichincha,1 año,1144,1473,2025-11-22,Público
Desarrollador Full Stack,Nestlé Ecuador,Ingeniería en Sistemas,Tungurahua,3 años,1759,2053,2025-12-06,Privado
Fisioterapeuta,Consorcio Nobis,Medicina,Manabí,1 año,1577,2016,2025-09-27,Privado
Especialista en SEO,Industrias Ales,Marketing,Guayas,2 años,967,1168,2025-10-11,Privado
Ingeniero Mecánico,Corporación Favorita,Ingeniería Eléctrica,Pichincha,1 año,1012,1173,2025-11-11,Privado
Odontólogo/a,Banco Pichincha,Enfermería,Guayas,1 año,633,750,2025-09-25,Privado
Analista Financiero,Ministerio de Educación,Contabilidad y Auditoría,El Oro,1 año,781,997,2025-09-21,Público
Ingeniero Industrial,Unilever Andina,Ingeniería Industrial,Guayas,Sin experiencia,736,950,2025-10-22,Privado
Farmacéutico/a,Hospital Metropolitano,Medicina,Pichincha,2 años,1749,2247,2025-09-17,Privado
Scrum Master,Corporación El Rosado,Ingeniería en Sistemas,Guayas,3 años,1656,1932,2025-09-30,Privado
Odontólogo/a,Produbanco,Enfermería,Tungurahua,2 años,893,1044,2025-09-20,Privado
Brand Manager,Corporación GPF,Marketing,Azuay,2 años,1083,1345,2025-09-16,Privado
Ingeniero de Software,Corporación El Rosado,Ingeniería en Sistemas,Azuay,1 año,1115,1326,2025-11-07,Privado
Enfermero/a,Tecnipak,Medicina,El Oro,4 años,2293,2563,2025-09-23,Privado
Asistente Contable,Fybeca,Administración de Empresas,Azuay,2 años,1078,1289,2025-10-29,Privado
Especialista en SEO,Consorcio Nobis,Comunicación Social,El Oro,2 años,975,1147,2025-11-16,Privado
Ingeniero de Proyectos,Moderna Alimentos,Ingeniería Industrial,Tungurahua,Sin experiencia,805,922,2025-09-17,Privado
Content Manager,Almacenes Juan Eljuri,Comunicación Social,Tungurahua,1 año,791,998,2025-10-05,Privado
Fisioterapeuta,Corporación GPF,Medicina,Pichincha,1 año,1410,1790,2025-10-23,Privado
Jefe de Mantenimiento,Consorcio Nobis,Ingeniería Eléctrica,Pichincha,1 año,1003,1173,2025-09-24,Privado
Brand Manager,Corporación El Rosado,Marketing,Tungurahua,2 años,1116,1431,2025-10-08,Privado
Ingeniero Eléctrico,Cervecería Nacional,Ingeniería Civil,El Oro,2 años,1224,1581,2025-12-06,Privado
Asistente Contable,Corporación Favorita,Administración de Empresas,El Oro,2 años,1180,1385,2025-12-05,Privado
Farmacéutico/a,Holcim Ecuador,Medicina,Manabí,3 años,2241,2855,2025-09-10,Privado
Jefe de Recursos Humanos,Corporación El Rosado,Administración de Empresas,Pichincha,3 años,1195,1317,2025-10-30,Privado
Contador,Industrias Ales,Administración de Empresas,El Oro,3 años,1169,1409,2025-10-15,Privado
Ingeniero de Calidad,Hospital Metropolitano,Ingeniería Industrial,Manabí,5+ años,2112,2616,2025-10-13,Privado
Odontólogo/a,Cervecería Nacional,Medicina,El Oro,Sin experiencia,1087,1358,2025-11-10,Privado
Asistente Administrativo,Schlumberger,Administración de Empresas,Manabí,1 año,932,1188,2025-11-16,Privado
Analista de E-commerce,Grupo Wright,Marketing,Azuay,Sin experiencia,708,838,2025-09-27,Privado
Analista de Marketing Digital,Almacenes Juan Eljuri,Marketing,Manabí,2 años,1117,1256,2025-10-04,Privado
Farmacéutico/a,Cervecería Nacional,Enfermería,Guayas,4 años,1095,1384,2025-11-17,Privado
Analista de Marketing Digital,La Fabril,Comunicación Social,Manabí,1 año,721,885,2025-10-25,Privado
Asistente Administrativo,Corporación GPF,Administración de Empresas,El Oro,4 años,1418,1636,2025-09-20,Privado
Nutricionista,Hospital Metropolitano,Medicina,Pichincha,Sin experiencia,1137,1287,2025-09-20,Privado
Fisioterapeuta,Banco Pichincha,Medicina,Azuay,4 años,2250,2565,2025-09-11,Privado
Ingeniero Ambiental,OCP Ecuador,Ingeniería Civil,Tungurahua,1 año,1114,1351,2025-11-07,Privado
Desarrollador Full Stack,Universidad San Francisco,Ingeniería en Sistemas,Pichincha,Sin experiencia,1045,1151,2025-10-22,Privado
Content Manager,Grupo Wright,Marketing,Guayas,2 años,982,1156,2025-10-22,Privado
Gerente de Operaciones,Hospital Metropolitano,Administración de Empresas,Manabí,1 año,971,1165,2025-11-10,Privado
Asistente Administrativo,Repsol Ecuador,Administración de Empresas,Manabí,1 año,915,1162,2025-10-14,Privado
Contador,La Fabril,Administración de Empresas,Pichincha,1 año,969,1083,2025-10-06,Privado
Ingeniero Industrial,CNT,Ingeniería Civil,Tungurahua,3 años,1545,1924,2025-11-29,Público
Supervisor de Obra,ARCA Continental,Ingeniería Eléctrica,Guayas,2 años,1277,1496,2025-11-01,Privado
Arquitecto de Software,SRI,Ingeniería en Sistemas,Guayas,1 año,1319,1610,2025-09-26,Público
Brand Manager,Nestlé Ecuador,Comunicación Social,Pichincha,2 años,835,1063,2025-11-16,Privado
Auxiliar de Enfermería,Nestlé Ecuador,Medicina,Manabí,3 años,2021,2600,2025-09-27,Privado
Psicólogo Clínico,Corporación GPF,Medicina,Azuay,1 año,1376,1562,2025-11-04,Privado
Brand Manager,Claro Ecuador,Marketing,Manabí,2 años,1050,1184,2025-09-22,Privado
Brand Manager,Pronaca,Comunicación Social,Azuay,Sin experiencia,643,758,2025-11-25,Privado
Coordinador Administrativo,Corporación GPF,Administración de Empresas,Tungurahua,1 año,962,1241,2025-10-24,Privado
Tecnólogo Médico,Grupo Wright,Medicina,Manabí,3 años,2000,2550,2025-12-03,Privado
Scrum Master,Cervecería Nacional,Ingeniería en Sistemas,El Oro,1 año,1269,1573,2025-11-17,Privado
Ingeniero de Software,Nestlé Ecuador,Ingeniería en Sistemas,Azuay,2 años,1404,1704,2025-09-16,Privado
Ingeniero de Calidad,La Fabril,Ingeniería Civil,El Oro,3 años,1414,1687,2025-11-28,Privado
Jefe de Mantenimiento,Nestlé Ecuador,Ingeniería Eléctrica,Pichincha,Sin experiencia,823,923,2025-10-27,Privado
Fisioterapeuta,Schlumberger,Enfermería,Azuay,2 años,766,895,2025-11-23,Privado
Ingeniero Eléctrico,Industrias Ales,Ingeniería Industrial,Pichincha,1 año,955,1057,2025-09-26,Privado
Ingeniero Industrial,IESS,Ingeniería Industrial,Azuay,5+ años,2027,2630,2025-10-25,Público
Desarrollador Mobile,Tecnipak,Ingeniería en Sistemas,Manabí,2 años,1357,1550,2025-09-09,Privado
Psicólogo Clínico,Claro Ecuador,Enfermería,El Oro,3 años,916,1033,2025-10-12,Privado
Enfermero/a,Produbanco,Enfermería,El Oro,2 años,831,983,2025-10-04,Privado
Diseñador Gráfico,Cervecería Nacional,Marketing,Pichincha,Sin experiencia,733,869,2025-10-15,Privado
Auditor,Fybeca,Administración de Empresas,Manabí,2 años,1076,1298,2025-09-27,Privado
Nutricionista,Repsol Ecuador,Enfermería,Pichincha,5+ años,1417,1811,2025-10-02,Privado
Farmacéutico/a,Corporación El Rosado,Medicina,Azuay,2 años,1859,2351,2025-10-17,Privado
Ingeniero de Software,La Fabril,Ingeniería en Sistemas,Guayas,3 años,1679,1953,2025-12-02,Privado
Psicólogo Clínico,Almacenes Juan Eljuri,Enfermería,El Oro,4 años,1008,1199,2025-09-23,Privado
Técnico Industrial,Nestlé Ecuador,Ingeniería Industrial,Pichincha,1 año,943,1221,2025-10-30,Privado
